despues_Gio_delta_1,despues_Gio_delta_2,despues_Gio_delta_3,despues_Gio_delta_4,despues_Gio_delta_5,despues_Gio_delta_6,despues_Gio_delta_7,despues_Gio_delta_8,despues_Gio_delta_9,despues_Gio_delta_10,despues_Gio_delta_11,despues_Gio_delta_12,despues_Gio_delta_13,despues_Gio_delta_14,despues_Gio_delta_15,despues_Gio_delta_16,despues_Gio_delta_17,despues_Gio_delta_18,despues_Gio_delta_19,Sujeto,Clase
6.6993,6.9618,6.4143,7.2042,5.2164,6.1503,6.0012,5.471,6.6108,6.8763,6.3818,6.8391,6.859,5.2565,3.063,5.4826,7.0762,6.1598,4.3705,A10GUAC,A
13.0866,14.1975,12.6623,12.6704,14.3544,5.3573,9.2908,9.9909,15.4483,15.2869,14.2928,12.4552,14.3663,14.7186,13.156,13.7634,10.5809,9.0006,12.1512,A11BRCA,A
6.5992,1.4802,6.0637,10.3061,8.1781,6.5656,6.5516,8.1019,5.0536,5.0654,8.0773,4.3808,2.1276,4.9257,5.8587,6.7729,5.4977,9.8927,6.5944,A12CAPA,A
4.6077,5.9456,7.6953,10.4119,9.7682,7.3523,9.9732,10.1967,5.2793,10.8217,8.7101,4.631,3.184,8.7555,9.294,6.445,8.9172,8.0519,7.0762,A13RIVI,A
15.842,12.5419,16.0056,16.0877,15.724,1.7069,16.0406,16.2568,16.1336,15.352,15.0277,16.0747,14.6855,16.0129,16.1591,12.4578,15.8383,15.9909,14.7162,A14RARO,A
8.6984,7.6722,12.7759,10.615,10.2822,8.5333,2.8853,10.931,9.2589,6.2667,11.2871,9.0937,6.2798,6.2806,8.312,8.9123,8.8808,2.0217,6.4692,A15GOGA,A
8.4014,9.4324,10.5413,6.3879,4.6951,7.7002,4.932,6.8687,9.3632,10.2402,6.0726,8.5847,9.4658,10.3331,6.2615,5.2677,9.1434,9.0859,8.272,A17MUSI,A
9.3807,8.5174,13.3953,13.3168,3.3064,4.6222,10.6502,12.3166,13.8773,13.4485,13.6866,12.5868,13.2482,11.4746,10.0101,12.468,10.0827,8.6251,8.4312,A18RURI,A
2.94,11.7557,11.7274,12.6115,10.4086,8.0051,6.3869,11.8023,11.1356,9.974,10.3446,1.859,8.3083,9.4128,10.5109,11.7359,5.9773,8.9113,7.0506,A19MOEP,A
12.4393,0.62832,9.7668,12.5006,12.058,13.254,12.0041,12.5261,11.9776,11.2807,12.5261,8.9922,11.6852,11.785,13.0835,12.5934,6.4112,4.9216,13.3377,A1ARVAE,A
10.7884,8.5314,7.9308,10.9302,12.4446,11.2922,0.73571,12.3005,11.2944,4.159,9.3195,5.499,12.3173,10.5999,11.213,10.8074,8.4093,1.4435,10.8118,A21AGLO,A
9.0858,8.0792,4.9136,4.0934,6.484,8.4671,2.4223,4.4767,8.953,8.5305,4.6687,9.3005,9.3815,9.1607,5.797,6.3269,8.0505,7.1816,4.5339,A22SAHE,A
15.6775,16.2917,16.1718,17.0338,10.6844,14.6813,16.0281,16.1728,16.0827,16.199,6.9602,14.7061,17.1346,15.8576,16.0734,14.8924,16.1726,14.6687,17.1582,A24FLMA,A
5.3591,5.7731,10.2066,9.0283,8.6643,5.3508,1.9741,7.9728,8.9813,9.5862,8.1563,2.6302,6.7232,9.8332,5.4387,10.7084,2.6547,10.1024,11.6143,A27HECE,A
8.095,7.8643,1.4693,7.4488,1.3447,2.2196,7.1472,7.2991,7.264,8.8298,10.1721,9.8926,7.4157,4.7444,9.6201,7.8104,5.2364,4.755,8.5435,A28TOPA,A
11.8708,13.9419,14.3954,14.1582,14.7174,9.398,13.8713,14.7478,13.1966,14.7365,13.9005,12.1661,8.5106,13.9496,14.5399,13.7647,1.415,12.9531,13.7848,A52CUCA,A
7.5982,6.4478,7.0566,6.5532,2.0617,5.7212,5.5066,5.9547,6.1316,9.9813,6.5505,7.5063,6.1988,6.7203,7.0862,0,5.7394,5.7159,3.55,A8ESSAI,A
8.6703,7.3749,8.9323,4.4084,5.6719,8.3561,4.7674,2.7594,8.4722,7.4289,4.6539,8.3524,5.6352,3.2956,4.0059,7.1691,5.7767,6.6723,5.6722,A9AYAND,A
7.6645,5.2292,5.8458,8.5152,9.3918,6.8472,9.2019,7.7852,6.5026,2.7663,8.9296,8.3737,3.6624,7.9524,10.2519,9.2937,6.2557,5.6304,8.5416,M9BENIE,M
7.7901,10.5338,13.1478,12.9037,5.8755,12.8363,12.0104,10.7038,10.8952,12.2324,11.5692,4.4545,13.001,12.5865,13.2731,6.6354,14.1927,0,10.4269,M10CAUR,M
5.826,7.1933,7.3542,8.3607,5.1405,4.4083,2.7724,6.9167,5.6657,7.7395,7.7214,7.5894,5.057,7.7602,8.3197,4.908,5.3467,5.924,6.8683,M11BADE,M
8.1953,10.7772,3.5216,7.6785,4.0862,1.5022,5.8656,8.2859,9.5714,4.655,1.9588,9.0554,5.4578,9.8613,9.6495,8.6939,9.0519,8.4478,4.9214,M12SAES,M
6.6144,5.7953,2.2373,7.3467,5.4587,1.4867,4.9288,2.6291,3.6396,1.3578,6.2006,4.3517,6.1782,5.3354,6.154,5.196,2.7493,6.4383,2.0494,M13FECA,M
9.574,10.7105,11.5876,8.7724,7.9622,10.4221,3.7472,8.428,11.9443,10.4363,11.626,3.9286,10.7303,11.9295,9.8778,10.5717,1.8648,2.0733,8.3643,M16ARVE,M
6.1298,5.4833,7.0378,5.0046,3.9308,4.095,5.6193,3.6601,7.1857,5.9639,6.3591,6.1667,8.0639,5.8741,4.9929,4.255,6.4087,5.7332,1.6031,M17GOSE,M
16.0614,15.1211,15.0301,13.8763,4.7152,11.1137,14.7947,8.1539,16.0216,15.8747,14.8266,14.9565,15.9447,14.9595,15.8498,13.7703,12.9079,12.0649,14.8227,M18HUME,M
11.3219,10.196,7.4233,11.2556,12.054,3.6687,8.4047,11.8096,12.4774,3.013,9.245,9.2956,9.5592,11.6824,11.8884,12.5857,0.65093,0.65093,9.8481,M19NAMO,M
6.2388,8.1693,7.9835,7.9424,9.2986,3.9206,4.5376,8.9129,8.9331,10.1804,5.2215,10.087,9.4003,8.9147,10.2972,5.8431,6.7613,9.561,4.8965,M21SANA,M
7.8367,7.5807,13.1966,13.2042,9.1996,9.8376,4.0267,11.7423,13.9906,13.7141,8.5978,10.1635,14.0618,9.5332,14.951,12.1265,12.0712,11.6947,13.4568,M22HUGU,M
6.1165,8.1256,9.0795,6.521,6.8022,6.242,9.3047,9.4449,9.5183,8.3068,5.801,6.3035,9.9055,9.6524,6.8802,8.1502,5.0401,0.62099,9.3408,M23SACA,M
8.548,8.5587,4.7912,9.2771,8.7229,6.1807,4.4553,10.134,9.2705,7.7994,9.3196,7.4024,1.5452,4.7406,3.3696,9.1259,3.3611,7.4181,6.8901,M24SAME,M
0,2.7836,8.9923,9.9491,11.1747,8.0482,3.8254,9.0399,7.5768,9.6548,10.5042,5.2883,8.9383,9.1545,10.3072,10.4857,4.7228,11.2668,8.2471,M25MAVI,M
7.1244,9.316,9.4298,8.9812,5.5899,2.6086,8.5878,7.0249,7.8469,7.7928,4.8225,5.5914,5.9426,7.0759,9.4957,8.8983,3.2992,3.3858,8.1292,M27MUAG,M
3.9657,10.825,11.3484,10.7081,9.3726,5.2525,1.4782,11.3513,8.1594,10.4584,10.1724,4.7375,9.136,8.8498,10.8918,9.5341,2.9091,8.181,10.799,M28NUCO,M
8.3297,5.2286,2.9189,5.3231,6.7874,7.5562,4.6069,7.2417,6.4262,2.0468,6.2677,5.602,6.3503,3.8255,7.3223,6.678,5.6184,7.1341,6.7898,M3ESDIR,M
14.7768,12.0468,15.9514,9.0944,12.814,15.4814,13.8671,13.7802,13.1442,16.7841,10.8703,11.2614,10.9782,13.9564,4.5652,11.0714,10.1671,15.8699,15.745,M7FLSAA,M
13.2327,13.1795,11.3577,13.3265,6.689,13.2066,8.3917,13.2415,13.1839,0.91996,12.355,4.6895,13.1569,13.2586,14.2384,5.7521,9.3045,5.5905,15.1015,M8AVGUK,M
7.1611,12.8219,8.1183,13.5882,11.2838,13.139,8.1394,9.8385,13.4778,12.44,10.1505,7.2041,11.2664,11.7849,10.3096,12.3876,9.6061,1.3238,13.7272,M9SAAND,M
